#,Manufacturer,Series,Color,Colors #,"Pattern Reference
(URL Links)",Flat RCCP,Texture RCCP,Presence in DMP,Material Creation Status
1,Mohawk,Genuine Theme,Ancestral,829,https://www.dirfloors.com/product/170354616/mohawk_genuine_theme_ancestral,146,147,TRUE,Uploaded to UE4 2020/01/08
2,Mohawk,Genuine Theme,Bittersweet,878,https://www.dirfloors.com/product/170354616/mohawk_genuine_theme_ancestral,,,FALSE,
3,Mohawk,Genuine Theme,Eclipse,976,https://www.dirfloors.com/product/170354616/mohawk_genuine_theme_ancestral,,,FALSE,
4,Mohawk,Genuine Theme,Mystic,838,https://www.dirfloors.com/product/170354616/mohawk_genuine_theme_ancestral,148,149,TRUE,Uploaded to UE4 2020/01/08
5,Mohawk,Genuine Theme,Silverado,947,https://www.dirfloors.com/product/170354616/mohawk_genuine_theme_ancestral,170,171,TRUE,Uploaded to UE4 2020/01/08
6,Mohawk,Genuine Theme,Steambath,928,https://www.dirfloors.com/product/170354616/mohawk_genuine_theme_ancestral,168,169,TRUE,Uploaded to UE4 2020/01/08
7,Mohawk,Genuine Theme,Tradewind,978,https://www.dirfloors.com/product/170354616/mohawk_genuine_theme_ancestral,145,146,TRUE,Uploaded to UE4 2020/01/08
8,Mohawk,Genuine Theme,Twine,746,https://www.dirfloors.com/product/170354616/mohawk_genuine_theme_ancestral,147,148,TRUE,Uploaded to UE4 2020/01/08
9,Mohawk,Genuine Theme,Yorktown,815,https://www.dirfloors.com/product/170354616/mohawk_genuine_theme_ancestral,169,170,TRUE,Uploaded to UE4 2020/01/08
10,Mohawk,Payday,Cashmere Sweater,760,https://www.dirfloors.com/product/170354588/mohawk_payday_gentle_doe,174,175,TRUE,Uploaded to UE4 2020/01/08
11,Mohawk,Payday,Destiny,721,https://www.dirfloors.com/product/170354588/mohawk_payday_gentle_doe,,,FALSE,
12,Mohawk,Payday,First Star,926,https://www.dirfloors.com/product/170354588/mohawk_payday_gentle_doe,,,FALSE,
