Number,Category,Manufacturer,Series,Color,Size,Flat RCCP,Texture RCCP
1,Tile,Bedrosians,"3-4"" Penny Rounds Gloss Mosaic",Dove Grey  ,12x12,454,213
2,Tile,Bedrosians,"3-4"" Penny Rounds Gloss Mosaic",Off White  ,12x12,453,212
3,Tile,Bedrosians,"3-4"" Penny Rounds Gloss Mosaic",White   ,12x12,452,211
4,Tile,Bedrosians,"3-4"" Penny Rounds Matte Mosaic",Beige   ,12x12,451,210
5,Tile,Bedrosians,"3-4"" Penny Rounds Matte Mosaic",Charcoal   ,12x12,-,-
6,Tile,Bedrosians,"3-4"" Penny Rounds Matte Mosaic",Iron   ,12x12,449,208
7,Tile,Bedrosians,"3-4"" Penny Rounds Matte Mosaic",Pumice   ,12x12,450,209
8,Tile,Bedrosians,"3-4"" Penny Rounds Matte Mosaic",White   ,12x12,-,-
9,Tile,Bedrosians,Allora Hexagon Pattern,Fiore   ,8.5x10,"546, 547",269
10,Tile,Bedrosians,Allora Hexagon Pattern,Stella   ,8.5x10,"518, 519",253
11,Tile,Bedrosians,Allora Hexagon Pattern,Beige,8.5x10,not a tile,not a tile
12,Tile,Bedrosians,Allora Hexagon Solid Color,Solid Black  ,8.5x10,"514, 515",251
13,Tile,Bedrosians,Allora Hexagon Solid Color,Solid Grey  ,8.5x10,see priority tab,see priority tab
14,Tile,Bedrosians,Allora Hexagon Solid Color,Solid White  ,8.5x10,see priority tab,see priority tab
15,Tile,Bedrosians,Allways,Bench   ,8x48,"522, 523",255
16,Tile,Bedrosians,Allways,Fence   ,8x48,"526, 527",257
17,Tile,Bedrosians,Allways,Oat   ,8x48,"510, 511",249
18,Tile,Bedrosians,Allways,Wagon   ,8x48,"524, 525",256
19,Tile,Bedrosians,Barrique,Fonce   ,8x24,"520, 521",254
20,Tile,Bedrosians,Barrique,Gris   ,8x24,"491, 492",238
21,Tile,Bedrosians,Barrique,Vert   ,8x24,"493, 494",239
22,Tile,Bedrosians,Brooklyn Gloss,Statuario   ,4.25x10,"512, 513",250
23,Tile,Bedrosians,Chateau Diamond Deco,"Canvas, Smoke, and Midnight",12x12,not available with the design center,
24,Tile,Bedrosians,Chateau Fiore Deco,Canvas Midnight  ,12x12,not available with the design center,
25,Tile,Bedrosians,Chateau Fiore Deco,Canvas Ocean  ,12x12,not available with the design center,
26,Tile,Bedrosians,Chateau Fiore Deco,Canvas Smoke  ,12x12,not available with the design center,
27,Tile,Bedrosians,Classic,Bardiglietto   ,12x12,566,284
28,Tile,Bedrosians,Classic,Cremino   ,12x12,571,289
29,Tile,Bedrosians,Classic,Statuarietto   ,12x12,572,290
30,Tile,Bedrosians,Classic 2x2 Mosaic,Cremino   ,12x12,443,202
31,Tile,Bedrosians,Classic 2x2 Mosaic,Statuarietto   ,12x12,442,201
32,Tile,Bedrosians,Cloe,Baby Blue  ,2.5x8,534,262
33,Tile,Bedrosians,Cloe,Grey   ,2.5x8,528,258
34,Tile,Bedrosians,Cloe,Pink   ,2.5x8,533,261
35,Tile,Bedrosians,Cloe,White   ,2.5x8,535,263
36,Tile,Bedrosians,Cloe Loire,Loire   ,5x5,553,275
37,Tile,Bedrosians,Glazed 2x2 Matte Mosaic,White   ,2x2,need to find,need to find
38,Tile,Bedrosians,Grace Gloss,Bianco   ,4x12,need to find,need to find
39,Tile,Bedrosians,Grace Gloss,Grigio   ,4x12,497,241
40,Tile,Bedrosians,Grace Gloss,Moka   ,4x12,509,248
41,Tile,Bedrosians,Grace Gloss,Panna   ,4x12,500,243
42,Tile,Bedrosians,Grace Gloss,Sabia   ,4x12,496,240
43,Tile,Bedrosians,Luxembourg Arabesque Mosaic Blend,Palais   ,12.25x13.25,not available with the design center,
44,Tile,Bedrosians,Luxembourg Arabesque Mosaic Blend,Paris   ,12.25x13.25,not available with the design center,
45,Tile,Bedrosians,Luxembourg Jardin Mosaic Blend,Palais   ,11.25x12.25,not available with the design center,
46,Tile,Bedrosians,Luxembourg Jardin Mosaic Blend,Paris   ,11.25x12.25,not available with the design center,
47,Tile,Bedrosians,Luxembourg Lily Mosaic Blend,Palais   ,12x13,not available with the design center,
48,Tile,Bedrosians,Luxembourg Lily Mosaic Blend,Paris   ,12x13,not available with the design center,
49,Tile,Bedrosians,Mallorca Arabesque Gloss Mosaic,Mist   ,9.25x14.5,472,223
50,Tile,Bedrosians,Mallorca Arabesque Gloss Mosaic,Pelican   ,9.25x14.5,470,221
51,Tile,Bedrosians,Mallorca Arabesque Gloss Mosaic,White Linen  ,9.25x14.5,471,222
52,Tile,Bedrosians,Mallorca Flora Mosaic Blend,White Linen-Mist  ,12-3/8x12-3/8,467,218
53,Tile,Bedrosians,Mallorca Velez Mist-Cliff Mosaic Blend G,Mist (outside)-Cliff (center) ,9-1/2x14-3/8,469,220
54,Tile,Bedrosians,Mallorca Velez Pelican-Mist Mosaic Blend G,Pelican (outside)-Mist (center) ,9-1/2x14-3/8,468,219
55,Tile,Bedrosians,Manhattan Brick Pattern Gloss-Matte Combo,Broadway   ,12x12.5,576,"295, 296"
56,Tile,Bedrosians,Manhattan Brick Pattern Gloss-Matte Combo,Flatiron   ,12x12.5,579,"301, 302"
57,Tile,Bedrosians,Manhattan Brick Pattern Gloss-Matte Combo,MacArthur   ,12x12.5,578,"299, 300"
