#,Manufacturer,Series,Color,Group #,Flat RCCP,Texture RCCP
1,Arizona Tile,Granite,Andromeda,2,253,94
2,Arizona Tile,Granite,Azul Platino,2,187,49
3,Arizona Tile,Granite,Bianco Antico,2,174,37
4,Arizona Tile,Granite,Bianco Montanha,2,188,50
5,Arizona Tile,Granite,Bianco Romano Supreme,2,193,55
6,Arizona Tile,Granite,Bianco Typhoon ,3,189,51
7,Arizona Tile,Granite,Bianco Typhoon Satin,3,192,54
8,Arizona Tile,Granite,Black Mist Honed,2,252,93
9,Arizona Tile,Granite,Black Pearl Satin,2,not available with the design center,
10,Arizona Tile,Granite,Blizzard,2,178,41
11,Arizona Tile,Granite,Blue Galaxy,3,181,43
12,Arizona Tile,Granite,Blue Pearl,3,182,44
13,Arizona Tile,Granite,Butterfly Beige,1,see priority tab,see priority tab
14,Arizona Tile,Granite,Café Cream,3,241,89
15,Arizona Tile,Granite,Casa Blanco,2,233,92
16,Arizona Tile,Granite,Colonial White,2,239,91
17,Arizona Tile,Granite,Copenhagen,4,212,73
18,Arizona Tile,Granite,Crema Bordeaux,3,242,88
19,Arizona Tile,Granite,Dallas White,1,see priority tab,see priority tab
20,Arizona Tile,Granite,Delicatus White,3,244,86
21,Arizona Tile,Granite,Eagle White ,3,243,87
22,Arizona Tile,Granite,Fantasy Brown Satin,3,186,48
23,Arizona Tile,Granite,Giallo Cream,2,175,38
24,Arizona Tile,Granite,Giallo Santo,1,see priority tab,see priority tab
25,Arizona Tile,Granite,Golden Crystal,3,208,69
26,Arizona Tile,Granite,Indian Premium Black Honed,3,197,59
27,Arizona Tile,Granite,Juparana St. Cecilia,1,see priority tab,see priority tab
28,Arizona Tile,Granite,Kashmir Cream,2,190,52
29,Arizona Tile,Granite,Monte Cristo,3,234,83
30,Arizona Tile,Granite,Monte Cristo Satin,3,198,60
31,Arizona Tile,Granite,Moon White,1,see priority tab,see priority tab
32,Arizona Tile,Granite,Pebble Beach,1,already in our database,
33,Arizona Tile,Granite,River Bordeaux,3,210,70
34,Arizona Tile,Granite,River White,3,238,79
35,Arizona Tile,Granite,Siena Beige,4,250,75
36,Arizona Tile,Granite,Silver Lennon,4,245,85
37,Arizona Tile,Granite,St. Cecilia White,1,249,76
38,Arizona Tile,Granite,St. Cecilia White Satin,2,247,78
39,Arizona Tile,Granite,Steel Gray,1,254,95
40,Arizona Tile,Granite,Typhoon Bordeaux,4,206,68
41,Arizona Tile,Granite,Venetian Gold,1,191,53
42,Arizona Tile,Granite,Verde Uba Tuba,1,179,42
43,Arizona Tile,Granite,Whisper White,2,240,90
44,Arizona Tile,Granite,White Ice,3,564,282
45,Arizona Tile,Granite,White Springs,3,237,80
46,Arizona Tile,Granite,White Springs Satin,4,246,84
47,Arizona Tile,Quartz,Aluminum - N,2,251,74
48,Arizona Tile,Quartz,Cashmere - N,2,235,82
49,Arizona Tile,Quartz,Concrete Grey,2,248,77
50,Arizona Tile,Quartz,Country Clare - N,3,184,46
51,Arizona Tile,Quartz,Denali - N,2,176,39
52,Arizona Tile,Quartz,Dusk - N,2,205,67
53,Arizona Tile,Quartz,Frost - N,1,196,58
54,Arizona Tile,Quartz,Grigio Nube,3,already in our database,
55,Arizona Tile,Quartz,Ivory White,2,183,45
56,Arizona Tile,Quartz,Linea,3,185,47
57,Arizona Tile,Quartz,Linen - N,2,236,81
58,Arizona Tile,Quartz,Lyskamm,3,565,283
59,Arizona Tile,Quartz,Monte Carrara,3,already in our database,
60,Arizona Tile,Quartz,Oceana - N,1,199,61
61,Arizona Tile,Quartz,Pegasus,3,202,64
62,Arizona Tile,Quartz,Rodi,3,201,63
63,Arizona Tile,Quartz,Seashell - N,2,195,57
64,Arizona Tile,Quartz,Slate Gray - N,2,204,66
65,Arizona Tile,Quartz,Steel - N,1,194,56
66,Arizona Tile,Quartz,Troya ,2,203,65
67,Arizona Tile,Quartz,Vegas - N,2,603,40
68,Arizona Tile,Quartz,Vittoria White,3,200,62
69,Arizona Tile,Quartz,White Sand - N,1,602,72
